"","id","progress","leo","duration_in_seconds","finished","recorded_date","age","gend","aian","asian","black","nhpi","white","ethnicity","year_position","year_field","ooas1","ooas2","ooas3","ooas4","ooas5","ooas6","narrcb1","narrcb2","narrcb3","narrcb4","mhl1","mhl2","mhl3","mhl4","burnout1","burnout2","burnout3","burnout4","burnout5","burnout6","burnout7","burnout8","burnout9"
"173","72","100","1","-99","TRUE","2021-09-16T14:20:17Z","37","Man","0","0","-99","0","-99","-99",14,-99,"NA","2","2","NA","2","3","3","3","3","2","","2","4","4","2","","2","2","1","1","","2","3"
"877","-99","100","0","909","TRUE","2021-06-16T18:10:08Z","46","Man","0","0","0","0","White","Non-Hispanic",5,25,"NA","NA","NA","NA","2","4","2","2","3","3","3","","5","4","2","3","2","2","1","","2","6","6"
"22","74","100","1","822","TRUE","2020-12-18T18:20:23Z","-99","Man","0","0","0","0","White","Non-Hispanic",0,7,"2","2","2","NA","2","NA","2","NA","2","2","3","3","","","2","2","1","1","1","1","4","","5"
"46","75","100","-99","-99","TRUE","-99","34","Nonbinary","0","-99","-99","0","0","Non-Hispanic",0,13,"4","3","3","4","2","3","3","2","3","","1","1","1","1","1","1","1","","","1","1","","1"
"750","-99","100","1","997","TRUE","2022-11-10T14:14:28Z","31","Man","0","0","-99","0","0","Non-Hispanic",2,-99,"2","2","2","2","2","NA","2","2","","2","2","2","4","4","1","","1","2","1","1","1","","5"
"326","-99","100","-99","907","TRUE","2022-02-08T15:12:15Z","41","-99","0","0","0","0","White","Non-Hispanic",0,20,"3","NA","3","3","2","4","3","2","2","2","2","2","4","5","2","2","2","2","","2","3","3","4"
"695","78","100","1","1265","-99","2022-10-14T13:17:27Z","25","Man","0","-99","-99","0","White","-99",0,0,"2","1","2","3","2","4","1","1","2","1","2","1","5","5","4","5","1","","1","1","","5","5"
"418","79","-99","1","1561","FALSE","2022-05-19T14:28:39Z","45","Man","Native American/ Alaskan","0","0","0","0","Non-Hispanic",20,20,"2","2","NA","2","2","NA","NA","2","2","2","3","3","3","3","","","","","","","","",""
"383","80","100","1","-99","TRUE","2022-04-14T14:23:22Z","46","Man","0","-99","-99","0","-99","Non-Hispanic",6,-99,"2","2","2","3","NA","3","2","2","","2","","1","4","5","2","","3","2","1","1","5","6","7"
"424","81","100","1","960","TRUE","-99","-99","Man","0","0","0","0","-99","Non-Hispanic",17,19,"3","3","1","NA","2","3","3","3","2","2","","2","","4","2","2","2","2","1","1","2","4","2"
"1088","82","100","0","688","-99","2022-04-21T14:48:53Z","-99","-99","0","-99","0","0","White","Non-Hispanic",3,10,"3","2","2","3","NA","3","NA","3","3","2","3","3","","3","2","","","1","","1","3","","2"
"56","83","100","-99","798","TRUE","2021-03-10T21:23:22Z","32","-99","0","0","0","0","White","Non-Hispanic",4,4,"4","3","2","4","2","NA","1","1","1","4","","1","5","4","","1","1","2","1","1","2","6","5"
"1624","84","100","1","-99","TRUE","2022-06-25T21:32:34Z","24","Man","0","0","0","0","White","Non-Hispanic",1,2,"NA","2","2","3","2","3","3","NA","","","2","","4","4","2","2","2","2","","1","5","7","7"
"32","85","100","1","879","-99","-99","24","Woman","0","0","-99","-99","White","Non-Hispanic",0,0,"3","2","2","3","2","3","3","3","3","3","","2","","","2","1","","","","1","4","5","4"
"1676","86","100","1","1093","TRUE","-99","51","Man","0","-99","0","0","-99","Hispanic",14,14,"2","2","2","2","2","3","2","NA","2","2","1","","1","1","1","","1","1","1","1","","1","1"
"900","87","100","-99","549","TRUE","2021-07-12T14:43:09Z","30","Man","-99","0","0","0","White","-99",3,-99,"1","2","NA","NA","2","3","3","3","3","3","4","","","4","4","4","1","2","1","1","4","3","3"
"645","88","100","1","1258","TRUE","2022-10-03T13:20:41Z","50","Man","0","0","0","0","White","Non-Hispanic",25,-99,"3","3","1","3","2","3","3","3","2","3","3","3","","3","7","","6","7","","","6","4","4"
"638","89","100","1","688","TRUE","2022-10-03T13:07:04Z","34","-99","-99","0","0","0","White","Non-Hispanic",2,10,"3","2","2","3","2","3","3","3","2","3","2","4","2","4","4","","4","5","","1","4","5","5"
"821","90","100","0","665","TRUE","2020-12-09T15:19:14Z","39","Woman","0","-99","0","-99","-99","-99",2,2,"3","NA","2","NA","2","4","2","2","1","2","","3","3","3","2","2","2","","1","1","2","3","2"
"1449","91","100","-99","600","TRUE","2022-05-19T13:18:25Z","45","-99","0","0","0","0","White","Non-Hispanic",-99,5,"4","2","2","2","NA","4","2","2","2","2","3","1","5","5","","2","1","2","1","","7","6","4"
"1189","92","-99","0","-99","TRUE","2022-09-23T18:18:07Z","34","Man","0","0","-99","0","White","Non-Hispanic",8,12,"1","1","NA","3","1","3","2","2","2","","2","2","4","4","2","2","1","1","2","1","2","2","2"
"62","93","100","-99","1194","TRUE","2021-03-10T21:30:02Z","58","Woman","-99","0","0","0","White","Non-Hispanic",0,5.5,"4","1","2","2","1","4","2","NA","1","","","1","5","5","4","2","","2","1","1","6","7","7"
"1405","94","-99","1","16848","TRUE","2022-05-16T19:08:09Z","-99","-99","0","0","0","0","White","Non-Hispanic",0,2,"NA","2","3","NA","4","4","2","2","2","2","2","2","2","2","","","","","","","","",""
"966","95","100","0","654","TRUE","2021-10-07T18:28:58Z","19","Woman","0","0","-99","0","White","-99",0,0,"2","2","NA","2","NA","NA","3","3","2","2","3","1","4","5","2","","2","2","","1","2","2","6"
"255","96","-99","1","979","-99","2021-12-07T16:18:31Z","26","Man","0","0","-99","0","White","Non-Hispanic",3,3,"3","2","2","3","3","NA","NA","3","","3","2","3","3","","4","4","","2","","4","","","4"
"2074","-99","100","1","3441","TRUE","2022-12-29T15:19:59Z","-99","Man","0","0","0","0","White","Non-Hispanic",0,19,"1","1","3","3","NA","4","NA","1","1","","4","2","3","","1","1","1","2","2","1","5","","7"
"1875","98","96","1","5550","FALSE","2022-11-20T19:21:02Z","-99","Woman","-99","0","0","0","White","Non-Hispanic",1,4,"3","NA","2","NA","2","4","3","NA","2","3","3","2","4","","","","","","","","","",""
"1591","99","-99","1","438","TRUE","2022-06-14T17:23:23Z","37","Woman","0","0","0","0","White","Non-Hispanic",6,-99,"3","1","1","3","2","4","NA","2","2","2","4","2","2","5","","4","","","","2","2","6","4"
"199","-99","-99","-99","1498","TRUE","2021-10-01T22:58:57Z","46","Man","0","0","-99","-99","White","Non-Hispanic",14,23,"1","1","2","3","3","4","2","2","2","1","3","2","4","4","4","2","2","2","2","1","6","5","5"
"495","-99","100","1","-99","TRUE","2022-08-03T13:25:08Z","-99","Man","0","0","0","0","-99","-99",1,-99,"2","NA","2","2","NA","NA","2","3","2","2","2","1","4","4","","2","","","","1","7","6",""
"1281","102","100","1","1937","TRUE","-99","-99","Man","0","-99","0","0","White","Non-Hispanic",9,9,"3","3","3","4","3","NA","NA","3","3","2","3","2","4","","3","2","4","6","1","","3","5","6"
"1180","103","100","0","-99","TRUE","2022-09-23T14:21:40Z","-99","Man","0","0","African American / Black","-99","-99","Non-Hispanic",3,5,"NA","1","2","NA","1","3","3","2","2","","2","5","4","4","4","6","5","","","1","2","2","5"
"598","104","100","1","1050","-99","2022-08-31T13:21:34Z","42","-99","0","0","-99","-99","White","Non-Hispanic",12,12,"4","2","2","3","NA","3","3","NA","","2","3","1","4","4","4","5","4","7","2","1","2","2",""
"582","-99","100","1","1127","TRUE","-99","34","Man","0","0","African American / Black","0","-99","Non-Hispanic",1,1,"NA","2","2","3","2","3","3","2","2","3","2","2","4","4","2","2","2","3","2","","3","3","4"
"1504","106","100","1","-99","TRUE","2022-05-25T12:29:20Z","31","Man","0","0","0","-99","-99","Non-Hispanic",1,1,"2","2","2","NA","2","3","2","2","2","2","3","1","5","5","","1","","1","1","1","1","7",""
"1800","107","100","-99","-99","-99","2022-10-22T16:20:47Z","35","-99","-99","0","0","-99","White","-99",1,6,"2","2","NA","2","NA","NA","3","3","2","","3","","4","3","","3","1","5","1","1","6","6",""
"1135","108","100","0","819","TRUE","2022-09-01T14:16:57Z","31","Man","0","0","-99","-99","White","Non-Hispanic",-99,5,"1","1","2","2","1","4","1","1","","1","","1","5","5","3","1","","4","1","2","7","7",""
"1245","109","100","1","1139","TRUE","2022-04-16T03:36:03Z","38","Woman","0","0","0","-99","White","-99",4,4,"2","1","1","3","2","NA","NA","2","2","1","2","1","5","4","","2","2","2","1","1","5","5","6"
"2073","-99","100","1","1040","TRUE","2022-12-29T14:48:46Z","50","Woman","0","0","African American / Black","0","0","Non-Hispanic",2,-99,"3","2","2","2","2","3","3","2","2","3","","1","4","4","4","4","","","1","1","7","","7"
"1032","-99","100","0","731","TRUE","2022-02-16T15:20:37Z","33","Man","0","0","0","0","White","-99",1,11,"3","NA","2","2","2","NA","NA","2","2","","2","1","4","4","2","2","1","2","1","","","3",""
"89","-99","100","1","1076","TRUE","2021-04-15T13:52:18Z","33","Woman","0","0","African American / Black","-99","-99","Non-Hispanic",-99,-99,"2","2","1","3","2","4","3","2","2","2","3","2","5","4","4","","3","4","1","1","6","","7"
"1519","113","100","1","1106","-99","-99","52","Man","0","0","0","0","-99","Hispanic",14,14,"3","2","2","3","2","3","3","3","3","3","","2","4","4","7","7","6","2","1","1","1","1","1"
"2044","-99","100","1","1251","TRUE","2022-12-24T13:20:30Z","28","Woman","-99","0","0","0","White","Non-Hispanic",-99,5,"NA","2","2","3","1","4","1","1","1","1","2","1","5","5","","1","","1","1","","","","5"
"337","115","-99","-99","-99","TRUE","2022-02-08T15:31:52Z","43","-99","0","0","0","0","-99","Non-Hispanic",20,20,"2","3","3","NA","NA","3","3","2","2","2","4","2","4","4","2","2","3","5","2","1","3","5","5"
"82","116","98","1","696","FALSE","2021-03-17T14:20:38Z","44","-99","0","0","0","0","White","Hispanic",4,4,"1","1","NA","1","1","4","1","1","","","1","1","5","5","","","","","","","","",""
"228","117","100","1","1547","-99","2021-11-16T22:13:01Z","53","-99","0","0","-99","-99","-99","Non-Hispanic",14,27,"1","1","NA","1","1","4","NA","NA","1","1","3","","3","","2","2","2","2","2","2","6","6",""
"194","118","100","1","1124","TRUE","2021-10-01T22:50:40Z","-99","Woman","0","Asian","0","0","0","Non-Hispanic",8,8,"3","NA","NA","3","3","3","4","4","3","3","3","1","4","4","","2","2","","2","2","2","2","6"
"399","119","100","1","4813","TRUE","2022-05-10T15:21:41Z","38","Man","0","0","0","0","-99","Non-Hispanic",0,15,"2","2","2","2","NA","4","2","2","2","2","2","","4","4","2","2","1","","1","1","1","4","3"
"1035","120","100","0","943","TRUE","2022-02-16T15:22:56Z","53","Nonbinary","0","0","0","0","-99","Non-Hispanic",-99,34,"2","2","1","4","2","3","3","NA","3","3","","","","5","5","5","1","3","","","1","5","4"
"1601","121","-99","1","1976","TRUE","2022-06-16T06:06:00Z","22","Woman","-99","-99","0","-99","White","Non-Hispanic",2,2,"3","NA","1","NA","2","4","3","NA","1","1","2","1","5","4","7","7","7","7","5","1","","6",""
"1009","122","100","0","564","TRUE","2022-02-08T16:16:48Z","26","Man","0","-99","0","0","White","Non-Hispanic",-99,-99,"3","NA","NA","3","2","1","3","3","2","2","1","1","5","","2","2","3","2","1","1","5","4",""
"663","123","-99","1","1167","TRUE","-99","36","Man","0","0","African American / Black","-99","0","Non-Hispanic",12,12,"3","3","1","3","3","3","4","4","4","","3","2","4","3","7","7","6","5","1","","1","6","6"
"525","-99","-99","1","1219","TRUE","2022-08-22T13:24:29Z","24","Man","0","-99","-99","0","White","Non-Hispanic",2,2,"3","2","2","3","2","3","2","2","2","2","4","2","4","","3","4","4","7","5","5","4","3",""
"958","-99","100","-99","-99","-99","2021-09-27T15:22:29Z","52","Man","0","0","-99","0","White","Non-Hispanic",8,-99,"3","2","NA","3","2","NA","2","2","2","2","","2","4","4","4","4","4","2","1","1","5","6","6"
"888","126","100","0","887","TRUE","-99","38","Man","0","0","0","0","White","Non-Hispanic",13,13,"1","2","NA","2","1","4","NA","NA","","1","3","2","3","4","","3","7","6","","1","1","3","3"
"1969","-99","-99","-99","1169","TRUE","2022-12-15T18:20:32Z","-99","Man","0","0","0","0","White","Non-Hispanic",4,16,"2","2","2","NA","2","3","3","2","2","3","2","2","4","4","5","4","4","4","","","3","4","2"
"833","128","-99","0","-99","-99","2020-12-09T15:32:28Z","-99","Woman","0","0","African American / Black","0","White","Non-Hispanic",2,2,"NA","3","NA","NA","2","NA","NA","2","3","1","","2","4","4","","","","3","1","","1","7",""
"1612","129","100","1","-99","-99","2022-06-22T14:44:50Z","-99","-99","0","0","-99","0","White","-99",2,-99,"NA","3","2","3","2","3","3","3","3","2","4","2","4","4","2","","","2","1","1","2","4","2"
